execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a72d,2022/5/10,5,17500,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a72d,2022/5/15,14,49000,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a72d,2022/5/29,3,10500,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/6/1,30,105000,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/7/1,3,10500,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/7/4,7,124500,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/7/11,3,10500,false,false,test data
execute,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/7/14,3,30500,false,false,test data
finish,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/7/17,1,3500,false,false,test data
postservice,63724c99008cb89616d76fc4,6363c5c3a747f60d3e71a737,2022/7/18,365,120000,false,false,test data
