6283611162de12c1a024d28d,execute,系統分析、設計,cchuang,2022/5/10,5,17500,false,false,
6283611162de12c1a024d28d,execute,資料庫設計,cchuang,2022/5/15,14,49000,false,false,
6283611162de12c1a024d28d,execute,系統架構製作,cchuang,2022/5/29,3,10500,false,false,
6283611162de12c1a024d28d,execute,系統細部程式製作,cchuang,2022/6/1,30,105000,false,false,
6283611162de12c1a024d28d,execute,資料準備及處理,cchuang,2022/7/1,3,10500,false,false,
6283611162de12c1a024d28d,execute,檢查資安保護能力,cchuang,2022/7/4,7,124500,false,false,
6283611162de12c1a024d28d,execute,測試及布署,cchuang,2022/7/11,3,10500,false,false,
6283611162de12c1a024d28d,execute,教育訓練,cchuang,2022/7/14,3,30500,false,false,
6283611162de12c1a024d28d,finish,驗收,cchuang,2022/7/17,1,3500,false,false,
6283611162de12c1a024d28d,postservice,保固維護,cchuang,2022/7/18,365,120000,false,false,
