staff,,admin,,admin,test data
staff,,cchuang,,admin,test data
staff,,sunlandwu,,management,test data
staff,,Leelandchao,,management,test data
staff,,landchuangwu,,staff,test data
staff,,shihyuhan,,staff,test data
staff,,shihanyou,,management,test data
staff,,benrenyu,,staff,test data
staff,,cchuang2,,admin,test data
staff,,Darmin,,staff,test data
staff,,hsan2001,,admin,test data
staff,,hsuwuhan,,staff,test data
staff,,jominchen,,staff,test data
staff,,jiweihsu,,staff,test data
staff,,hsuwanlai,,admin,test data
staff,,jisheju,,management,test data
otheruser,,nooneguest,,tester,test data
otheruser,,notwoguest,,tester,test data
client,,,,client,test data
client,,,,client,test data
client,,,,client,test data
client,,,,client,test data
client,,,,client,test data
